rank_date,van_rank
2022-01-20,21
2022-01-24,21
2022-01-31,20
2022-02-07,20
2022-02-14,19
2022-02-21,19
2022-02-28,19
2022-03-07,19
2022-03-14,18
2022-03-21,18
2022-03-28,19
2022-04-04,19
2022-04-11,19
2022-04-18,18
2022-04-25,18
2022-08-29,18
2022-09-05,18
2022-09-12,18
2022-09-19,18
2022-09-26,18
2022-10-03,18
2022-10-10,2
2022-10-17,27
2022-10-24,31
2022-10-31,27
2022-11-07,26
2022-11-14,29
2022-11-21,26
2022-11-28,21
2022-12-05,23
2022-12-12,22
2022-12-19,26
2022-12-26,23
2023-01-02,25
2023-01-09,26
2023-01-16,26
2023-01-23,27
2023-01-30,27
2023-02-06,26
2023-02-13,27
2023-02-20,28
2023-02-27,27
2023-03-06,26
2023-03-13,25
2023-03-20,24
2023-03-27,23
2023-04-03,25
2023-09-04,22
2023-09-11,22
2023-09-18,22
2023-09-25,22
2023-10-02,22
2023-10-09,22
2023-10-16,2
2023-10-23,8
2023-10-30,8
2023-11-06,3
2023-11-13,3
2023-11-20,3
2023-11-27,5
2023-12-04,4
2023-12-11,4
2023-12-18,2
2023-12-25,1
2024-01-01,3
2024-01-08,2
2024-01-15,1
2024-01-22,1
2024-01-29,1
2024-02-05,1
2024-02-12,1
2024-02-19,1
2024-02-26,1
2024-03-04,3
2024-03-11,2
2024-03-18,4
2024-03-25,1
2024-04-01,5
2024-04-08,5
2024-04-15,6
